REGION,TECHNOLOGY,VALUE
REGION1,HUWIONPH3,31.536
REGION1,HUWSCHPH2,31.536
REGION1,HUWSSTPH1,31.536
REGION1,IEBFHPFH1,31.536
REGION1,IEBMCCPH1,31.536
REGION1,IEBMCHPH3,31.536
REGION1,IEBMCSPN2,31.536
REGION1,IEBMSTPH3,31.536
REGION1,IECOCHPH3,31.536
REGION1,IECOCSPN2,31.536
REGION1,IECOSTPH1,31.536
REGION1,IECOSTPH3,31.536
REGION1,IEELUKPH1,31.536
REGION1,IEGOCVPH2,31.536
REGION1,IEHFCCPH2,31.536
REGION1,IEHFCHPH3,31.536
REGION1,IEHFGCPH3,31.536
REGION1,IEHFGCPN3,31.536
REGION1,IEHFHPFH1,31.536
REGION1,IEHFHPPH2,31.536
REGION1,IEHFSTPH2,31.536
REGION1,IEHFSTPH3,31.536
REGION1,IEHYDMPH0,31.536
REGION1,IEHYDMPH1,31.536
REGION1,IEHYDMPH2,31.536
REGION1,IEHYDMPH3,31.536
REGION1,IEHYDSPH2,31.536
REGION1,IEHYDSPH3,31.536
REGION1,IENGCCPH2,31.536
REGION1,IENGCHPH3,31.536
REGION1,IENGCHPN3,31.536
REGION1,IENGCSPN2,31.536
REGION1,IENGFCFH1,31.536
REGION1,IENGGCPH2,31.536
REGION1,IENGGCPN2,31.536
REGION1,IENGHPFH1,31.536
REGION1,IENGHPPH2,31.536
REGION1,IENGSTPH2,31.536
REGION1,IEOCWVPH1,31.536
REGION1,IESODIFH1,31.536
REGION1,IESOUTPH2,31.536
REGION1,IEWIOFPH3,31.536
REGION1,IEWIOFPN2,31.536
REGION1,IEWIOFPN3,31.536
REGION1,IEWIONPH3,31.536
REGION1,IEWIONPN3,31.536
REGION1,IEWSCHPH2,31.536
REGION1,IEWSSTPH1,31.536
REGION1,ITBFHPFH1,31.536
REGION1,ITBMCCPH1,31.536
REGION1,ITBMCHPH3,31.536
REGION1,ITBMCSPN2,31.536
REGION1,ITBMSTPH3,31.536
REGION1,ITCOCHPH3,31.536
REGION1,ITCOCSPN2,31.536
REGION1,ITCOSTPH1,31.536
REGION1,ITCOSTPH3,31.536
REGION1,ITELMTPH1,31.536
REGION1,ITELSIPH1,31.536
REGION1,ITGOCVPH2,31.536
REGION1,ITHFCCPH2,31.536
REGION1,ITHFCHPH3,31.536
REGION1,ITHFGCPH3,31.536
REGION1,ITHFGCPN3,31.536
REGION1,ITHFHPFH1,31.536
REGION1,ITHFHPPH2,31.536
REGION1,ITHFSTPH2,31.536
REGION1,ITHFSTPH3,31.536
REGION1,ITHYDMPH0,31.536
REGION1,ITHYDMPH1,31.536
REGION1,ITHYDMPH2,31.536
REGION1,ITHYDMPH3,31.536
REGION1,ITHYDSPH2,31.536
REGION1,ITHYDSPH3,31.536
REGION1,ITNGCCPH2,31.536
REGION1,ITNGCHPH3,31.536
REGION1,ITNGCHPN3,31.536
REGION1,ITNGCSPN2,31.536
REGION1,ITNGFCFH1,31.536
REGION1,ITNGGCPH2,31.536
REGION1,ITNGGCPN2,31.536
REGION1,ITNGHPFH1,31.536
REGION1,ITNGHPPH2,31.536
REGION1,ITNGSTPH2,31.536
REGION1,ITOCWVPH1,31.536
