REGION,TECHNOLOGY,VALUE
REGION1,HRHFGCPH3,25.0
REGION1,HRHFGCPN3,25.0
REGION1,HRHFHPFH1,20.0
REGION1,HRHFHPPH2,20.0
REGION1,HRHFSTPH2,30.0
REGION1,HRHFSTPH3,30.0
REGION1,HRHYDMPH0,80.0
REGION1,HRHYDMPH1,80.0
REGION1,HRHYDMPH2,80.0
REGION1,HRHYDMPH3,80.0
REGION1,HRHYDSPH2,80.0
REGION1,HRHYDSPH3,80.0
REGION1,HRNGCCPH2,30.0
REGION1,HRNGCHPH3,25.0
REGION1,HRNGCHPN3,25.0
REGION1,HRNGCSPN2,30.0
REGION1,HRNGFCFH1,5.0
REGION1,HRNGGCPH2,25.0
REGION1,HRNGGCPN2,25.0
REGION1,HRNGHPFH1,20.0
REGION1,HRNGHPPH2,20.0
REGION1,HRNGSTPH2,30.0
REGION1,HRSODIFH1,25.0
REGION1,HRSOUTPH2,25.0
REGION1,HRWIONPH3,25.0
REGION1,HRWSCHPH2,25.0
REGION1,HRWSSTPH1,30.0
REGION1,HUBFHPFH1,20.0
REGION1,HUBMCCPH1,30.0
REGION1,HUBMCHPH3,25.0
REGION1,HUBMCSPN2,35.0
REGION1,HUBMSTPH3,30.0
REGION1,HUCOCHPH3,25.0
REGION1,HUCOCSPN2,40.0
REGION1,HUCOSTPH1,30.0
REGION1,HUCOSTPH3,30.0
REGION1,HUGOCVPH2,40.0
REGION1,HUHFCCPH2,30.0
REGION1,HUHFCHPH3,25.0
REGION1,HUHFGCPH3,25.0
REGION1,HUHFGCPN3,25.0
REGION1,HUHFHPFH1,20.0
REGION1,HUHFHPPH2,20.0
REGION1,HUHFSTPH2,30.0
REGION1,HUHFSTPH3,30.0
REGION1,HUHYDMPH0,80.0
REGION1,HUHYDMPH1,80.0
REGION1,HUHYDMPH2,80.0
REGION1,HUHYDMPH3,80.0
REGION1,HUNGCCPH2,30.0
REGION1,HUNGCHPH3,25.0
REGION1,HUNGCHPN3,25.0
REGION1,HUNGCSPN2,30.0
REGION1,HUNGFCFH1,5.0
REGION1,HUNGGCPH2,25.0
REGION1,HUNGGCPN2,25.0
REGION1,HUNGHPFH1,20.0
REGION1,HUNGHPPH2,20.0
REGION1,HUNGSTPH2,30.0
REGION1,HUNUG2PH3,50.0
REGION1,HUNUG3PN3,60.0
REGION1,HUSODIFH1,25.0
REGION1,HUSOUTPH2,25.0
REGION1,HUWIONPH3,25.0
REGION1,HUWSCHPH2,25.0
REGION1,HUWSSTPH1,30.0
REGION1,IEBFHPFH1,20.0
REGION1,IEBMCCPH1,30.0
REGION1,IEBMCHPH3,25.0
REGION1,IEBMCSPN2,35.0
REGION1,IEBMSTPH3,30.0
REGION1,IECOCHPH3,25.0
REGION1,IECOCSPN2,40.0
REGION1,IECOSTPH1,30.0
REGION1,IECOSTPH3,30.0
REGION1,IEGOCVPH2,40.0
REGION1,IEHFCCPH2,30.0
REGION1,IEHFCHPH3,25.0
REGION1,IEHFGCPH3,25.0
REGION1,IEHFGCPN3,25.0
REGION1,IEHFHPFH1,20.0
REGION1,IEHFHPPH2,20.0
REGION1,IEHFSTPH2,30.0
REGION1,IEHFSTPH3,30.0
REGION1,IEHYDMPH0,80.0
REGION1,IEHYDMPH1,80.0
REGION1,IEHYDMPH2,80.0
REGION1,IEHYDMPH3,80.0
REGION1,IEHYDSPH2,80.0
REGION1,IEHYDSPH3,80.0
REGION1,IENGCCPH2,30.0
REGION1,IENGCHPH3,25.0
REGION1,IENGCHPN3,25.0
REGION1,IENGCSPN2,30.0
REGION1,IENGFCFH1,5.0
REGION1,IENGGCPH2,25.0
REGION1,IENGGCPN2,25.0
REGION1,IENGHPFH1,20.0
REGION1,IENGHPPH2,20.0
REGION1,IENGSTPH2,30.0
REGION1,IEOCWVPH1,25.0
REGION1,IESODIFH1,25.0
REGION1,IESOUTPH2,25.0
REGION1,IEWIOFPH3,25.0
REGION1,IEWIOFPN2,25.0
REGION1,IEWIOFPN3,25.0
REGION1,IEWIONPH3,25.0
REGION1,IEWIONPN3,25.0
REGION1,IEWSCHPH2,25.0
REGION1,IEWSSTPH1,30.0
REGION1,ITBFHPFH1,20.0
REGION1,ITBMCCPH1,30.0
REGION1,ITBMCHPH3,25.0
REGION1,ITBMCSPN2,35.0
REGION1,ITBMSTPH3,30.0
REGION1,ITCOCHPH3,25.0
REGION1,ITCOCSPN2,40.0
REGION1,ITCOSTPH1,30.0
REGION1,ITCOSTPH3,30.0
REGION1,ITGOCVPH2,40.0
REGION1,ITHFCCPH2,30.0
REGION1,ITHFCHPH3,25.0
REGION1,ITHFGCPH3,25.0
REGION1,ITHFGCPN3,25.0
REGION1,ITHFHPFH1,20.0
REGION1,ITHFHPPH2,20.0
REGION1,ITHFSTPH2,30.0
REGION1,ITHFSTPH3,30.0
REGION1,ITHYDMPH0,80.0
REGION1,ITHYDMPH1,80.0
REGION1,ITHYDMPH2,80.0
REGION1,ITHYDMPH3,80.0
REGION1,ITHYDSPH2,80.0
REGION1,ITHYDSPH3,80.0
REGION1,ITNGCCPH2,30.0
REGION1,ITNGCHPH3,25.0
REGION1,ITNGCHPN3,25.0
REGION1,ITNGCSPN2,30.0
REGION1,ITNGFCFH1,5.0
REGION1,ITNGGCPH2,25.0
REGION1,ITNGGCPN2,25.0
REGION1,ITNGHPFH1,20.0
REGION1,ITNGHPPH2,20.0
REGION1,ITNGSTPH2,30.0
REGION1,ITOCWVPH1,25.0
REGION1,ITSODIFH1,25.0
REGION1,ITSOUTPH2,25.0
REGION1,ITWIOFPN2,25.0
REGION1,ITWIOFPN3,25.0
REGION1,ITWIONPH3,25.0
REGION1,ITWIONPN3,25.0
REGION1,ITWSCHPH2,25.0
REGION1,ITWSSTPH1,30.0
REGION1,LTBFHPFH1,20.0
REGION1,LTBMCCPH1,30.0
REGION1,LTBMCHPH3,25.0
REGION1,LTBMCSPN2,35.0
REGION1,LTBMSTPH3,30.0
REGION1,LTCOCHPH3,25.0
REGION1,LTCOCSPN2,40.0
REGION1,LTCOSTPH1,30.0
REGION1,LTCOSTPH3,30.0
REGION1,LTGOCVPH2,40.0
REGION1,LTHFCCPH2,30.0
REGION1,LTHFCHPH3,25.0
REGION1,LTHFGCPH3,25.0
REGION1,LTHFGCPN3,25.0
REGION1,LTHFHPFH1,20.0
REGION1,LTHFHPPH2,20.0
REGION1,LTHFSTPH2,30.0
REGION1,LTHFSTPH3,30.0
REGION1,LTHYDMPH0,80.0
REGION1,LTHYDMPH1,80.0
REGION1,LTHYDMPH2,80.0
REGION1,LTHYDMPH3,80.0
REGION1,LTHYDSPH2,80.0
REGION1,LTHYDSPH3,80.0
REGION1,LTNGCCPH2,30.0
REGION1,LTNGCHPH3,25.0
REGION1,LTNGCHPN3,25.0
REGION1,LTNGCSPN2,30.0
REGION1,LTNGFCFH1,5.0
REGION1,LTNGGCPH2,25.0
REGION1,LTNGGCPN2,25.0
REGION1,LTNGHPFH1,20.0
